time,cc,ms,ws,sm,li,hh
3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
